metric_name,count,suggested_action,suggested_field_key,suggested_name_cn,suggested_alias,score,validator_status,validator_reason,unit,topic_examples,table_title_examples,page_examples,report_examples,candidate_details
危险废物排放量,1,review_candidate_rejected,hazardous_waste,危险废弃物产生量,危险废物排放量,0.92,rejected,quantitative_field_requires_numeric_value,吨,,量化数据绩效表-环境绩效,page_37.png,002_600072_中船科技_2024_中船科技：中船科技股份有限公司2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""hazardous_waste"", ""name_cn"": ""危险废弃物产生量"", ""alias"": ""危险废物"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""quantitative_field_requires_numeric_value""}]"
环境行政处罚金额,1,review_candidate_rejected,environmental_penalty_count,环境违规或处罚事件数量,环境行政处罚金额,0.92,rejected,unit_type_mismatch:count,万元,,量化数据绩效表-环境绩效,page_48_left.png,003_002083_孚日股份_2025_孚日股份：社会责任报告,"[{""field_key"": ""environmental_penalty_count"", ""name_cn"": ""环境违规或处罚事件数量"", ""alias"": ""环境行政处罚"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""unit_type_mismatch:count""}]"
安全生产,1,review_candidate_rejected,safety_accident_count,安全生产事故数量,安全生产,0.92,rejected,required_keyword_missing,,,社会绩效,page_48_right.png,003_002083_孚日股份_2025_孚日股份：社会责任报告,"[{""field_key"": ""safety_accident_count"", ""name_cn"": ""安全生产事故数量"", ""alias"": ""安全生产事故数量"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}]"
不兼任高管职务的董事人数,1,review_candidate_rejected,board_size,董事会人数,不兼任高管职务的董事人数,0.92,rejected,forbidden_keyword_hit,人,,治理绩效,page_49_right.png,003_002083_孚日股份_2025_孚日股份：社会责任报告,"[{""field_key"": ""board_size"", ""name_cn"": ""董事会人数"", ""alias"": ""董事人数"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""forbidden_keyword_hit""}]"
审计委员会独董占比,1,review_candidate_rejected,independent_director_ratio,独立董事比例,审计委员会独董占比,0.92,rejected,forbidden_keyword_hit,%,,治理绩效,page_49_right.png,003_002083_孚日股份_2025_孚日股份：社会责任报告,"[{""field_key"": ""independent_director_ratio"", ""name_cn"": ""独立董事比例"", ""alias"": ""独董占比"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""forbidden_keyword_hit""}]"
提名委员会独董占比,1,review_candidate_rejected,independent_director_ratio,独立董事比例,提名委员会独董占比,0.92,rejected,forbidden_keyword_hit,%,,治理绩效,page_49_right.png,003_002083_孚日股份_2025_孚日股份：社会责任报告,"[{""field_key"": ""independent_director_ratio"", ""name_cn"": ""独立董事比例"", ""alias"": ""独董占比"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""forbidden_keyword_hit""}]"
薪酬与考核委员会独董占比,1,review_candidate_rejected,independent_director_ratio,独立董事比例,薪酬与考核委员会独董占比,0.92,rejected,forbidden_keyword_hit,%,,治理绩效,page_49_right.png,003_002083_孚日股份_2025_孚日股份：社会责任报告,"[{""field_key"": ""independent_director_ratio"", ""name_cn"": ""独立董事比例"", ""alias"": ""独董占比"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""forbidden_keyword_hit""}]"
401-1 新增员工雇用率和员工流动率,1,review_candidate_rejected,employee_turnover_rate,员工流失率,401-1 新增员工雇用率和员工流动率,0.92,rejected,quantitative_field_requires_numeric_value,,,量化数据绩效表,page_42.png,003_600099_林海股份_2024_林海股份：林海股份有限公司2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""employee_turnover_rate"", ""name_cn"": ""员工流失率"", ""alias"": ""员工流动率"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""quantitative_field_requires_numeric_value""}]"
已授权反腐教育培训的员工总数,1,review_candidate_rejected,total_employees,员工总数,已授权反腐教育培训的员工总数,0.92,rejected,forbidden_keyword_hit,人,,商业道德,page_58.png,004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""total_employees"", ""name_cn"": ""员工总数"", ""alias"": ""员工总数"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""forbidden_keyword_hit""}]"
已接收反腐败培训的员工总数,1,review_candidate_rejected,total_employees,员工总数,已接收反腐败培训的员工总数,0.92,rejected,forbidden_keyword_hit,人,,商业道德,page_58_left.png,004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""total_employees"", ""name_cn"": ""员工总数"", ""alias"": ""员工总数"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""forbidden_keyword_hit""}]"
