report_name,success,total_fields,route_a_extracted_fields,route_b_matched_fields,route_b_filled_fields,route_b2_matched_fields,route_b2_filled_fields,merged_extracted_fields,missing_fields,coverage_rate,raw_coverage,industry,applicable_fields,applicable_extracted_fields,not_applicable_fields,applicable_coverage,output_dir,error
018_002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告,True,60,12,0,0,0,0,12,48,0.2,0.2,finance,56,12,4,0.2143,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\018_002431_棕榈股份_2024_棕榈股份：棕榈股份2024年度环境、社会及公司治理（ESG）报告,
019_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告,True,60,11,0,0,0,0,11,49,0.1833,0.1833,finance,56,11,4,0.1964,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\019_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告,
020_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告,True,60,23,0,0,0,0,23,37,0.3833,0.3833,service,60,23,0,0.3833,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\020_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告,
021_002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告,True,60,17,0,0,0,0,17,43,0.2833,0.2833,service,60,17,0,0.2833,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\021_002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告,
022_002913_奥士康_2025_奥士康：社会责任报告,True,60,16,0,0,0,0,16,44,0.2667,0.2667,service,60,16,0,0.2667,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\022_002913_奥士康_2025_奥士康：社会责任报告,
023_002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告,True,60,12,0,0,0,0,12,48,0.2,0.2,finance,56,12,4,0.2143,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\023_002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告,
024_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告,True,60,15,0,0,0,0,15,45,0.25,0.25,pharma,60,15,0,0.25,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\024_600713_南京医药_2024_南京医药：南京医药2024年环境、社会和公司治理（ESG）报告,
600366_宁波韵升_2024_宁波韵升：宁波韵升2024年度环境、社会及治理（ESG）报告,True,60,20,6,6,0,0,26,34,0.4333,0.4333,manufacturing,60,26,0,0.4333,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\600366_宁波韵升_2024_宁波韵升：宁波韵升2024年度环境、社会及治理（ESG）报告,
600861_北京人力_2024_北京人力_北京人力2024可持续发展_ESG_报告_2,True,60,0,0,0,0,0,0,60,0.0,0.0,service,60,0,0,0.0,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\600861_北京人力_2024_北京人力_北京人力2024可持续发展_ESG_报告_2,
600861_北京人力_2024_北京人力_北京人力2024可持续发展_ESG_报告_3,True,60,2,0,0,0,0,2,58,0.0333,0.0333,service,60,2,0,0.0333,C:\Users\18130\PycharmProjects\爬虫\esg-multimodal-extraction-agent\output\reports\600861_北京人力_2024_北京人力_北京人力2024可持续发展_ESG_报告_3,
